ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
GOBP_NEGATIVE_REGULATION_OF_CALCIUM_MEDIATED_SIGNALING,"Any process that stops, prevents, or reduces the frequency, rate or extent of calcium-mediated signaling. [GOC:ai, PMID:11696592]",8/926,19/12583,0.42105263157894735,5.721495964533363,5.8046948626962305,3.031712199568136e-5,0.0011808450647049706,9.295400993852042e-4,CD22/PLEK/HOMER2/PRNP/INPP5A/SLA2/MAPK7/CHP1,8
GOCC_TRANSCRIPTION_REPRESSOR_COMPLEX,A protein complex that possesses activity that prevents or downregulates transcription. [GOC:mah],16/926,69/12583,0.2318840579710145,3.1509687920618528,5.049489982163526,3.0428742559484757e-5,0.0011808450647049706,9.295400993852042e-4,CTNNB1/FOXO3/NCOR2/ETV3/SKI/H1-0/ZNF350/PER2/RCOR1/BIN1/MYC/MXD1/RBPJ/JUND/AKIRIN2/PRDM10,16
GOBP_POSITIVE_REGULATION_OF_PHOSPHORYLATION,"Any process that activates or increases the frequency, rate or extent of addition of phosphate groups to a molecule. [GOC:jl]",34/926,221/12583,0.15384615384615385,2.0905466024256523,4.609809003501975,3.1139718938766045e-5,0.0012001588936194282,9.447435998149065e-4,AREG/VEGFA/CDKN1A/PLAUR/PIK3R5/THBS1/SNX9/FGFR1/FAM20A/SPRY2/OSM/EREG/TAB2/SPHK1/PDGFA/RIPK2/KCTD20/NEDD9/CEMIP/FLT1/RAC1/SYAP1/DHX34/MAP2K1/SRC/S1PR2/LAT/GAS6/TGFB1/PTPN1/FLOT1/HLA-DRB1/BRAF/ERN1,34
GOBP_POSITIVE_REGULATION_OF_FIBROBLAST_PROLIFERATION,"Any process that activates or increases the frequency, rate or extent of multiplication or reproduction of fibroblast cells. [GOC:jid]",12/926,42/12583,0.2857142857142857,3.882443690219068,5.27358959406557,3.288591038665615e-5,0.0012588368554130216,9.909338410816263e-4,FOSL2/CDKN1A/FN1/EREG/SPHK1/ZMIZ1/PDGFA/S100A6/TGIF1/MYC/GAS6/TGFB1,12
GOBP_LENS_FIBER_CELL_DIFFERENTIATION,"The process in which a relatively unspecialized cell acquires specialized features of a lens fiber cell, any of the elongated, tightly packed cells that make up the bulk of the mature lens in the camera-type eye. The cytoplasm of a lens fiber cell is devoid of most intracellular organelles including the cell nucleus, and contains primarily crystallins, a group of water-soluble proteins expressed in vary large quantities. [GOC:mah, PMID:7693735]",10/926,30/12583,0.3333333333333333,4.529517638588913,5.45492966303573,3.423403178652063e-5,0.0013015871409645379,0.0010245861006947287,ZEB2/VIM/SPRY2/SMAD3/SKIL/KDM5B/SPRED2/ATF4/TGFB1/BFSP1,10
GOBP_ERK1_AND_ERK2_CASCADE,"A MAPK cascade containing at least the ERK1 or ERK2 MAP kinases. It starts with the activation of a MAP3K, and the consecutive activation of a MPK2K and of ERK1 or ERK2. The cascade can also contain an additional tier: the upstream MAP4K. The kinases in each tier phosphorylate and activate the kinase in the downstream tier. The ERK1/ERK2 cascade is activated by mitogens, growth factors, G protein-coupled receptors, and results in cellular responses such as cell proliferation, cell differentiation and development. [PMID:20811974, PMID:23125017, PMID:28903453]",33/926,213/12583,0.15492957746478872,2.1052687615976637,4.585215829934909,3.5102398580691005e-5,0.0013256456161983108,0.0010435245017841595,GPR183/VEGFA/FN1/ATF3/EPHB1/SPRY2/HAVCR2/C5AR1/ZFP36L1/DUSP4/CD44/IL1B/MARCO/PDGFA/RIPK2/DUSP5/P2RY1/GPNMB/EZR/ITGAV/DUSP6/SPRED2/CCR1/MAP2K1/MYC/SRC/GAS6/TGFB1/PTPN1/PRXL2C/NAMPT/HLA-DRB1/BRAF,33
GOBP_CELL_MATURATION,"The cellular developmental process, independent of morphogenetic (shape) change, that is required for a specific cell to attain its fully functional state. [GOC:go_curators]",25/926,142/12583,0.176056338028169,2.3923508654518906,4.702752811989793,3.644284090161448e-5,0.0013670924383558981,0.0010761506983438158,PPARG/HIF1A/FAM20C/VEGFA/H3-3B/CTNNB1/FOXO3/FGFR1/CLEC7A/EREG/MECP2/TUT4/ID2/ABHD2/EPAS1/RAC1/HOXA5/B4GALT5/SHB/RUNX2/TGFB1/BFSP1/H3-3A/FARP2/ZBTB7A,25
GOBP_CELL_SUBSTRATE_JUNCTION_ORGANIZATION,"A process that is carried out at the cellular level which results in the assembly, arrangement of constituent parts, or disassembly of a cell-substrate junction. A cell-substrate junction is a specialized region of connection between a cell and the extracellular matrix. [GOC:aruk, GOC:bc, PMID:10419689, PMID:1643657, PMID:16805308, PMID:26923917, PMID:8314002]",18/926,85/12583,0.21176470588235294,2.877575911574133,4.895236101570261,3.67764458346277e-5,0.0013704706007380799,0.0010788099273064719,S100A10/VEGFA/ARF6/THBS1/FN1/SDC4/PIK3R1/SMAD3/ITGA5/TNS1/PLEC/RAC1/CAMSAP3/SRC/IQSEC1/RAB8B/LIMS1/MAP4K4,18
GOBP_POSITIVE_REGULATION_OF_ALPHA_BETA_T_CELL_DIFFERENTIATION,"Any process that activates or increases the frequency, rate or extent of alpha-beta T cell differentiation. [GOC:ai]",13/926,49/12583,0.2653061224489796,3.6051262837748492,5.1495456324683015,3.706203445649625e-5,0.0013720267624125289,0.0010800349099233811,PNP/NLRP3/RIPK2/RUNX1/EP300/CD86/RUNX3/CD83/SHB/MALT1/OPA1/HLA-DRB1/ANXA1,13
GOBP_MUSCLE_CELL_MIGRATION,"The orderly movement of a muscle cell from one site to another, often during the development of a multicellular organism. [CL:0000187, GOC:mtg_muscle]",15/926,63/12583,0.23809523809523808,3.2353697418492233,5.01307744389519,3.8482084227380504e-5,0.0014071298059710204,0.0011076673975149991,DOCK4/SERPINE1/PPARD/GNA12/TRIB1/NR4A3/PDGFA/SSH1/ABHD2/NET1/PTPN1/PLXNA1/DDIT3/PLAU/ANXA1,15
