p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
0.00346227519758163,0.8443762946502418,0.126,0.079,1,9,FAM131B-AS2
0.003469332484997495,0.7003132183396235,0.211,0.149,1,9,CYTOR
0.0034740844604534706,0.8514817547148323,0.1,0.057,1,9,WWC3
0.003478942390281507,0.8587734072333704,0.119,0.073,1,9,GUCD1
0.0034848592197207788,2.418472175658672,0.011,0.002,1,9,PLXNA1
0.0034868661897295332,2.384587968283231,0.011,0.002,1,9,BFSP1
0.0035272271176205157,1.8090570915292563,0.011,0.002,1,9,COMETT
0.0035468008848719,1.0314551569654982,0.069,0.035,1,9,ATP10A
0.0035733170114579187,0.10129759847012654,0.992,0.991,1,9,RPL35A
0.0036121998685866878,0.6375825745740743,0.184,0.126,1,9,USF2
0.003639978566155471,1.0641686767013216,0.054,0.025,1,9,UAP1
0.0036433013105687966,1.9551789215499609,0.015,0.004,1,9,FSIP1
0.003648761649314057,0.39810764701301354,0.387,0.312,1,9,ARL8B
0.003667726295849122,0.23139208651773668,0.559,0.472,1,9,SF1
0.0037079409848650405,0.43185950782467863,0.299,0.226,1,9,FLOT1
0.0037361781406969464,0.7187936289260405,0.169,0.114,1,9,IRAK1
0.0037773764299134033,0.720480531138832,0.161,0.107,1,9,PSMD14
0.0038154304937486486,0.5572482692095886,0.13,0.08,1,9,CBX6
0.003816291233013162,0.11971737644609348,0.985,0.981,1,9,H3-3A
0.003822823199117757,0.2302897757636566,0.785,0.684,1,9,ANXA2
0.0038544859275327944,1.249931348649279,0.069,0.036,1,9,ABCG1
0.003924342520920257,0.9862155909731218,0.092,0.052,1,9,DVL3
0.003930084539745522,0.22061111873582906,0.797,0.719,1,9,NAMPT
0.004014898346959469,0.7112660659530843,0.176,0.12,1,9,RHOF
0.00406738924894422,0.10182930021393943,0.996,0.994,1,9,RPL37
0.004088824844097518,2.4011134525661593,0.015,0.004,1,9,ETV7
0.0041180310444659425,2.23750578762722,0.015,0.004,1,9,COLEC12
0.004130891528404747,0.34190185880272517,0.483,0.406,1,9,UQCRFS1
0.004138935709859855,0.6610238846546179,0.13,0.081,1,9,EVA1B
0.004162195401581539,2.03024065405344,0.015,0.004,1,9,GSDME
0.004232623787074725,2.4585893743410097,0.011,0.002,1,9,LINC02698
0.004234839675442518,0.8040273871189029,0.23,0.169,1,9,PTGER2
0.004234985018912421,2.777322097628627,0.011,0.002,1,9,ENSG00000260570
0.004263500457323281,0.42697422134407714,0.406,0.336,1,9,MAP4K4
0.004272455254741172,0.14432620942131136,0.801,0.705,1,9,IFITM3
0.004387585869729366,1.7932614740782604,0.034,0.014,1,9,ALPK2
0.004409204253907033,0.3147209868756532,0.437,0.361,1,9,UBALD2
0.004446328982852384,0.8697618548846182,0.111,0.068,1,9,COPRS
0.004505929363544265,1.1632089359111792,0.038,0.016,1,9,STON2
0.00455902413660161,0.7622033614471195,0.142,0.091,1,9,LDLRAD3
0.004559413503497068,0.5383508019607404,0.28,0.215,1,9,PARVB
0.004593767394440876,0.4381812385573406,0.264,0.195,1,9,BCL6
0.004639889003739375,0.7162709134846685,0.153,0.101,1,9,GGA1
0.004659223986019685,0.8173633729940961,0.107,0.065,1,9,RPTOR
0.004673890826418039,2.7207679606621697,0.015,0.004,1,9,PMEPA1
0.004673900219252507,0.2602389280772832,0.87,0.813,1,9,CD68
0.0047081448045835144,0.5134852931313422,0.261,0.194,1,9,NRBP1
0.004767366585467899,0.5545833992280352,0.188,0.129,1,9,SLC25A25
0.004792046941221556,0.8602651689321497,0.157,0.105,1,9,ATF5
0.00484207525554254,0.85501899079321,0.1,0.059,1,9,FURIN
0.004865822092511643,0.2093149964870129,0.828,0.754,1,9,GPX4
0.004881403314403916,0.5992536437693465,0.172,0.118,1,9,ADAM8
0.004885803906462826,1.1518575480475284,0.05,0.023,1,9,ASB2
0.004927940922719593,0.18806567426861998,0.931,0.909,1,9,SPI1
0.004966136473786048,2.5143339112068763,0.019,0.006,1,9,LRP12
0.0049676013359987135,1.0628207137669077,0.073,0.039,1,9,RBMS2
0.004978394007758981,0.33215811344450086,0.49,0.415,1,9,PSMA6
0.005000592709328241,1.0887545012238764,0.1,0.06,1,9,FARP2
0.005014400558430606,1.5665236132991307,0.027,0.01,1,9,ZSWIM1
0.005032123419090678,1.5620393088810642,0.031,0.012,1,9,ENSG00000228830
0.005088562996907727,0.40234247910652876,0.479,0.41,1,9,SEC62
0.005143872914951221,0.15554232144545344,0.828,0.762,1,9,RPL23
0.005162821739032229,2.376042249029177,0.011,0.002,1,9,ZNF502
0.005332186644052456,0.695666536554405,0.1,0.059,1,9,YJU2
0.005334023161398536,0.799386010791755,0.107,0.065,1,9,LONRF1
0.005345950674798149,0.6853063719701051,0.123,0.077,1,9,ARSG
0.0053848938213266135,1.045241704096175,0.084,0.048,1,9,SLC37A3
0.005397788997273658,1.9000531290374383,0.023,0.008,1,9,ZNF682
0.005398271355371744,0.49720432936122005,0.203,0.144,1,9,SLC25A13
0.005410556718937989,1.5538847489595407,0.027,0.01,1,9,AK4
0.005425056594974852,1.1887643072608771,0.057,0.028,1,9,IL4I1
0.005484322385175365,0.5692304569921899,0.195,0.139,1,9,WDFY1
0.005502644217842707,0.6529013194866673,0.184,0.129,1,9,SAR1A
0.0055074771449542094,1.9045400513966197,0.027,0.01,1,9,ARHGAP31-AS1
0.005561447413449634,1.4088770547160006,0.042,0.019,1,9,FSCN1
0.005602528075021446,0.30638512735663537,0.575,0.515,1,9,SFPQ
0.005608651602192812,0.5897531965176321,0.199,0.141,1,9,CD151
0.005729057126786825,0.9496277674717661,0.046,0.021,1,9,STARD4
0.005795352677603321,1.5927510762204062,0.046,0.021,1,9,PRDM1
0.0058224066560680085,0.41862720484947424,0.402,0.33,1,9,HNRNPA0
0.005925988638892117,0.6975797248805604,0.157,0.107,1,9,SOCS3
0.005984049900732886,0.6104003921353025,0.161,0.107,1,9,STK38L
0.006096051599810777,0.627913301102944,0.203,0.146,1,9,TRIO
0.006100672503092046,0.3129825550082208,0.483,0.396,1,9,JDP2
0.0061377428550464345,0.8828003415964578,0.092,0.054,1,9,ACVR1B
0.006160424879600095,1.1876028981282931,0.042,0.019,1,9,ENSG00000286288
0.006170588502880399,2.6639095602854175,0.011,0.002,1,9,TUBB1
0.006179585265670298,1.0976991263975577,0.054,0.026,1,9,LINC01412
0.006234243980378064,0.3474171609721132,0.402,0.327,1,9,RAB1A
0.006251453138731537,0.7769841615328514,0.126,0.081,1,9,VPS16
0.00627364231660589,0.8293383635786251,0.092,0.054,1,9,TMEM38B
0.006307670683021281,1.050636655800345,0.08,0.046,1,9,RBSN
0.006425006890161967,1.1180093856780902,0.061,0.032,1,9,KCNN4
0.00644796369476355,0.5169142277708381,0.238,0.177,1,9,TTYH3
0.006473367097440246,0.612478824876211,0.142,0.093,1,9,ZCCHC10
0.006529997335495347,0.8108303525362222,0.092,0.054,1,9,CD69
0.006532022767636681,0.3470316103747736,0.372,0.3,1,9,ZBTB7A
0.006646487569581401,0.6041789363217047,0.149,0.099,1,9,DDIT3
0.006724371883331751,0.48980457095820595,0.199,0.141,1,9,ENSG00000291073
0.0067927615255268785,1.4762523961673328,0.034,0.014,1,9,SH3BP5-AS1
0.006931125855915524,1.7608508639219744,0.019,0.006,1,9,ENSG00000290121
0.006999809921169072,0.5280996719717661,0.264,0.207,1,9,NENF
0.007020157178035007,0.5688456235858992,0.169,0.117,1,9,KAT6A
0.0071209330962384515,0.180423404898288,0.897,0.863,1,9,HLA-DRB1
0.007150652118834375,1.6797403765022616,0.027,0.01,1,9,ADORA2A-AS1
0.007257053950261566,2.7652424360245647,0.011,0.003,1,9,ENSG00000236069
0.007269896523902452,0.4087687372945483,0.391,0.325,1,9,C17orf49
0.007279221905708125,2.652846267084457,0.011,0.003,1,9,CUX2
0.007333013380225708,0.20943938695744269,0.755,0.701,1,9,HNRNPA1
0.007334907863500807,2.3694139368438236,0.011,0.003,1,9,PDC-AS1
0.007379114834707415,0.1836626067819651,0.805,0.763,1,9,CHCHD2
0.007379731485118184,2.0425952127706735,0.011,0.003,1,9,ENSG00000270117
0.007383477855489678,2.086366646671597,0.011,0.003,1,9,WEE2-AS1
0.007417854323389643,0.4178540388828875,0.268,0.205,1,9,PDLIM5
0.00743834215912385,1.1578533225013445,0.05,0.024,1,9,CLU
0.007537100891177412,0.7170134511399286,0.084,0.048,1,9,TCEAL3
0.007661737943197367,0.6736534171615096,0.169,0.119,1,9,NUS1
0.0076870686527344256,0.8160416647337845,0.115,0.073,1,9,RPRD1B
0.007961993538219449,1.41389765622064,0.027,0.01,1,9,FHL1P1
0.007995439180021144,0.36756318411289934,0.241,0.179,1,9,BRAF
0.008081242297294271,0.16801843060394006,0.927,0.925,1,9,RPL37A
0.008086409439533853,0.33407876275273757,0.364,0.295,1,9,RSRC2
0.008176962858406954,0.8569429964433926,0.088,0.052,1,9,INAFM2
0.008247000319826621,0.3736202452437211,0.261,0.196,1,9,SBDS
0.008336581462672363,1.7587712735980543,0.023,0.008,1,9,ENSG00000288885
0.008415778762245968,0.2641281571635439,0.517,0.434,1,9,ENSG00000235979
0.008614857122420284,2.4411561747204678,0.011,0.003,1,9,LINC00656
0.008620103566787435,0.28084304663102994,0.425,0.351,1,9,EIF1B
0.00864746382127826,2.0868225863989753,0.015,0.004,1,9,HOMER3-AS1
0.00869163035174218,2.161880581949408,0.011,0.003,1,9,ENSG00000287965
0.008871434702806389,0.5407184501670168,0.153,0.103,1,9,SPAST
0.00887442992057619,0.8897648103531108,0.073,0.04,1,9,PRMT9
0.00888156644581731,0.9866187790656942,0.054,0.027,1,9,ENSG00000267009
0.008905918790155757,1.8396072129831689,0.019,0.006,1,9,PC
0.008923267172691717,1.5076104645955022,0.015,0.004,1,9,PLAU
0.008985332678667649,1.5091400068636038,0.031,0.012,1,9,ENSG00000286887
0.00909870859595095,0.5625831895014993,0.203,0.149,1,9,ERN1
0.009128379831395302,0.3204209963648894,0.548,0.506,1,9,RILPL2
0.009181163945579994,0.8835449433075153,0.069,0.038,1,9,FPR3
0.009342857841742871,0.2944870481211239,0.548,0.481,1,9,YPEL5
0.00937976606091333,0.4823303609483142,0.375,0.323,1,9,CHP1
0.009380874944649842,0.3765903381900517,0.337,0.271,1,9,CUL3
0.009489444104832288,0.5983190691852438,0.092,0.055,1,9,IFI44L
