p_val,avg_log2FC,pct.1,pct.2,p_val_adj
0.005056234670424496,-0.8494720093593018,0.2,0.393,1
0.005105871037089075,-1.6884341075011726,0.059,0.179,1
0.00513295059907195,0.5741049570702148,0.834,0.804,1
0.0051712783333858784,4.501478092390217,0.127,0,1
0.005181269130866016,-1.2531783047380023,0.117,0.268,1
0.005242491308288143,3.317954554459881,0.156,0.018,1
0.005284098463618653,-1.189090269127019,0.068,0.196,1
0.0053951216215306595,-1.052660446810075,0.112,0.268,1
0.005612648857409892,-1.4202698823859405,0.18,0.339,1
0.0056149335708310915,-0.32275115146305877,0.961,1,1
0.00562352988550878,1.336828030660862,0.356,0.179,1
0.005629617347218425,0.853278431506089,0.58,0.429,1
0.0056848555262459894,-0.24792557844500873,1,1,1
0.005731552493145678,-2.4479165957084525,0.024,0.107,1
0.0058833577513434324,-0.4920020553064146,0.634,0.804,1
0.005933286974738691,-0.24932056714504736,0.99,0.982,1
0.005958338748316751,-1.2001850859735246,0.068,0.196,1
0.006212044295573844,4.374133686624663,0.122,0,1
0.006212044295573844,4.801626937150278,0.122,0,1
0.006232751520139612,-3.4250042945440593,0.01,0.071,1
0.006301234627122353,-1.2603654797920354,0.049,0.161,1
0.006342962934727157,-2.0562273518097225,0.044,0.143,1
0.006343873848247944,3.4525565737397654,0.151,0.018,1
0.006379994527669436,-2.6906430867093745,0.01,0.071,1
0.006420858644991013,-0.19801505544476505,1,1,1
0.00647720510917462,-2.8365372976290586,0.024,0.107,1
0.006530360289274665,-2.9009259123635003,0.01,0.071,1
0.006530360289274665,-3.1122370262932475,0.01,0.071,1
0.006530360289274665,-3.005330924658608,0.01,0.071,1
0.006560320580174672,-1.2371960224282332,0.049,0.161,1
0.006590569183686734,-2.2450943911483257,0.024,0.107,1
0.006773793379725198,-1.2773977419313327,0.073,0.196,1
0.006822664616524126,-1.9938835229957672,0.024,0.107,1
0.006840689453424353,-2.4776897331216925,0.01,0.071,1
0.006840689453424353,-2.4087762911282367,0.01,0.071,1
0.006840689453424353,-2.516098630622663,0.01,0.071,1
0.006840689453424353,-2.504808044423535,0.01,0.071,1
0.006840689453424353,-1.468759244938552,0.01,0.071,1
0.0068427838645326216,-4.231180565901987,0,0.036,1
0.0068427838645326216,-4.272109325850334,0,0.036,1
0.0068427838645326216,-4.643150999755257,0,0.036,1
0.0068427838645326216,-4.5006606278766395,0,0.036,1
0.0068427838645326216,-4.522866557905443,0,0.036,1
0.0068427838645326216,-4.323490013023427,0,0.036,1
0.0068427838645326216,-4.224550358862554,0,0.036,1
0.0068427838645326216,-4.167755630462148,0,0.036,1
0.0068427838645326216,-4.38460022594627,0,0.036,1
0.0068427838645326216,-4.775170490907575,0,0.036,1
0.0068427838645326216,-4.341166276543113,0,0.036,1
0.0068427838645326216,-4.231745666803846,0,0.036,1
0.0068427838645326216,-4.2186905147554565,0,0.036,1
0.0068427838645326216,-4.292066129702302,0,0.036,1
0.0068427838645326216,-4.242129372240617,0,0.036,1
0.0068427838645326216,-4.565107044679824,0,0.036,1
0.0068427838645326216,-4.256930922167335,0,0.036,1
0.0068427838645326216,-4.104555453082078,0,0.036,1
0.0068427838645326216,-4.2808322140388775,0,0.036,1
0.0068427838645326216,-4.378363049734628,0,0.036,1
0.0068427838645326216,-4.757068081293219,0,0.036,1
0.0068427838645326216,-3.922635607588997,0,0.036,1
0.0068427838645326216,-4.663660003599572,0,0.036,1
0.0068427838645326216,-4.570734756831786,0,0.036,1
0.0068427838645326216,-4.165658031259817,0,0.036,1
0.0068427838645326216,-4.3043495133427365,0,0.036,1
0.0068427838645326216,-5.220016558554965,0,0.036,1
0.0068427838645326216,-4.74542496900755,0,0.036,1
0.0068427838645326216,-3.9337495944544285,0,0.036,1
0.0068427838645326216,-4.7428032077735836,0,0.036,1
0.0068427838645326216,-4.515457426138109,0,0.036,1
0.0068427838645326216,-4.694968874606024,0,0.036,1
0.0068427838645326216,-4.427888059705323,0,0.036,1
0.0068427838645326216,-4.19141504955081,0,0.036,1
